Result Log
Problem File Path+Name: problems/a1.lup
Solution File Path+Name: solutions/solutionA1.lup
Random Number Seed: 2125693040
Algorithm parameters:
	Random Number Based Upon: time
	Number of Runs: 30
	Mu: 200
	Lambda: 200
	Algorithm Used for Parent Selection: tournament
400	9.5	19
600	9.5	19
800	9.5	19
1000	9.5	19
1200	9.5	19
1400	9.5	19
1600	9.5	19
1800	9.5	19
2000	9.5	19
2200	9.5	19
2400	9.5	19
2600	9.5	19
2800	9.5	19
3000	9.5	19
3200	9.5	19
3400	9.5	19
3600	9.5	19
3800	9.5	19
4000	9.5	19
4200	9.5	19
4400	9.5	19
4600	9.5	19
4800	9.5	19
5000	9.5	19
5200	9.5	19
5400	9.5	19
5600	9.5	19
5800	9.5	19
6000	9.5	19
6200	9.5	19
6400	9.5	19
6600	9.5	19
6800	9.5	19
7000	9.5	19
7200	9.5	19
7400	9.5	19
7600	9.5	19
7800	9.5	19
8000	9.5	19
8200	9.5	19
8400	9.5	19
8600	9.5	19
8800	9.5	19
9000	9.5	19
9200	9.5	19
9400	9.5	19
9600	9.5	19
9800	9.5	19
10000	9.5	19

Run 23
200	9.5	19
400	9.5	19
600	9.5	19
800	9.5	19
1000	9.5	19
1200	9.5	19
1400	9.5	19
1600	9.5	19
1800	9.5	19
2000	9.5	19
2200	9.5	19
2400	9.5	19
2600	9.5	19
2800	9.5	19
3000	9.5	19
3200	9.5	19
3400	9.5	19
3600	9.5	19
3800	9.5	19
4000	9.5	19
4200	9.5	19
4400	9.5	19
4600	9.5	19
4800	9.5	19
5000	9.5	19
5200	9.5	19
5400	9.5	19
5600	9.5	19
5800	9.5	19
6000	9.5	19
6200	9.5	19
6400	9.5	19
6600	9.5	19
6800	9.5	19
7000	9.5	19
7200	9.5	19
7400	9.5	19
7600	9.5	19
7800	9.5	19
8000	9.5	19
8200	9.5	19
8400	9.5	19
8600	9.5	19
8800	9.5	19
9000	9.5	19
9200	9.5	19
9400	9.5	19
9600	9.5	19
9800	9.5	19
10000	9.5	19

Run 24
200	9.5	19
400	9.5	19
600	9.5	19
800	9.5	19
1000	9.5	19
1200	9.5	19
1400	9.5	19
1600	9.5	19
1800	9.5	19
2000	9.5	19
2200	9.5	19
2400	9.5	19
2600	9.5	19
2800	9.5	19
3000	9.5	19
3200	9.5	19
3400	9.5	19
3600	9.5	19
3800	9.5	19
4000	9.5	19
4200	9.5	19
4400	9.5	19
4600	9.5	19
4800	9.5	19
5000	9.5	19
5200	9.5	19
5400	9.5	19
5600	9.5	19
5800	9.5	19
6000	9.5	19
6200	9.5	19
6400	9.5	19
6600	9.5	19
6800	9.5	19
7000	9.5	19
7200	9.5	19
7400	9.5	19
7600	9.5	19
7800	9.5	19
8000	9.5	19
8200	9.5	19
8400	9.5	19
8600	9.5	19
8800	9.5	19
9000	9.5	19
9200	9.5	19
9400	9.5	19
9600	9.5	19
9800	9.5	19
10000	9.5	19

Run 25
200	9.5	19
400	9.5	19
600	9.5	19
800	9.5	19
1000	9.5	19
1200	9.5	19
1400	9.5	19
1600	9.5	19
1800	9.5	19
2000	9.5	19
2200	9.5	19
2400	9.5	19
2600	9.5	19
2800	9.5	19
3000	9.5	19
3200	9.5	19
3400	9.5	19
3600	9.5	19
3800	9.5	19
4000	9.5	19
4200	9.5	19
4400	9.5	19
4600	9.5	19
4800	9.5	19
5000	9.5	19
5200	9.5	19
5400	9.5	19
5600	9.5	19
5800	9.5	19
6000	9.5	19
6200	9.5	19
6400	9.5	19
6600	9.5	19
6800	9.5	19
7000	9.5	19
7200	9.5	19
7400	9.5	19
7600	9.5	19
7800	9.5	19
8000	9.5	19
8200	9.5	19
8400	9.5	19
8600	9.5	19
8800	9.5	19
9000	9.5	19
9200	9.5	19
9400	9.5	19
9600	9.5	19
9800	9.5	19
10000	9.5	19

Run 26
200	10.0	20
400	10.0	20
600	10.0	20
800	10.0	20
1000	10.0	20
1200	10.0	20
1400	10.0	20
1600	10.0	20
1800	10.0	20
2000	10.0	20
2200	10.0	20
2400	10.0	20
2600	10.0	20
2800	10.0	20
3000	10.0	20
3200	10.0	20
3400	10.0	20
3600	10.0	20
3800	10.0	20
4000	10.0	20
4200	10.0	20
4400	10.0	20
4600	10.0	20
4800	10.0	20
5000	10.0	20
5200	10.0	20
5400	10.0	20
5600	10.0	20
5800	10.0	20
6000	10.0	20
6200	10.0	20
6400	10.0	20
6600	10.0	20
6800	10.0	20
7000	10.0	20
7200	10.0	20
7400	10.0	20
7600	10.0	20
7800	10.0	20
8000	10.0	20
8200	10.0	20
8400	10.0	20
8600	10.0	20
8800	10.0	20
9000	10.0	20
9200	10.0	20
9400	10.0	20
9600	10.0	20
9800	10.0	20
10000	10.0	20

Run 27
200	9.0	18
400	9.0	18
600	9.0	18
800	9.0	18
1000	9.0	18
1200	9.0	18
1400	9.0	18
1600	9.0	18
1800	9.0	18
2000	9.0	18
2200	9.0	18
2400	9.0	18
2600	9.0	18
2800	9.0	18
3000	9.0	18
3200	9.0	18
3400	9.0	18
3600	9.0	18
3800	9.0	18
4000	9.0	18
4200	9.0	18
4400	9.0	18
4600	9.0	18
4800	9.0	18
5000	9.0	18
5200	9.0	18
5400	9.0	18
5600	9.0	18
5800	9.0	18
6000	9.0	18
6200	9.0	18
6400	9.0	18
6600	9.0	18
6800	9.0	18
7000	9.0	18
7200	9.0	18
7400	9.0	18
7600	9.0	18
7800	9.0	18
8000	9.0	18
8200	9.0	18
8400	9.0	18
8600	9.0	18
8800	9.0	18
9000	9.0	18
9200	9.0	18
9400	9.0	18
9600	9.0	18
9800	9.0	18
10000	9.0	18

Run 28
200	9.0	18
400	9.0	18
600	9.0	18
800	9.0	18
1000	9.0	18
1200	9.0	18
1400	9.0	18
1600	9.0	18
1800	9.0	18
2000	9.0	18
2200	9.0	18
2400	9.0	18
2600	9.0	18
2800	9.0	18
3000	9.0	18
3200	9.0	18
3400	9.0	18
3600	9.0	18
3800	9.0	18
4000	9.0	18
4200	9.0	18
4400	9.0	18
4600	9.0	18
4800	9.0	18
5000	9.0	18
5200	9.0	18
5400	9.0	18
5600	9.0	18
5800	9.0	18
6000	9.0	18
6200	9.0	18
6400	9.0	18
6600	9.0	18
6800	9.0	18
7000	9.0	18
7200	9.0	18
7400	9.0	18
7600	9.0	18
7800	9.0	18
8000	9.0	18
8200	9.0	18
8400	9.0	18
8600	9.0	18
8800	9.0	18
9000	9.0	18
9200	9.0	18
9400	9.0	18
9600	9.0	18
9800	9.0	18
10000	9.0	18

Run 29
200	9.5	19
400	9.5	19
600	9.5	19
800	9.5	19
1000	9.5	19
1200	9.5	19
1400	9.5	19
1600	9.5	19
1800	9.5	19
2000	9.5	19
2200	9.5	19
2400	9.5	19
2600	9.5	19
2800	9.5	19
3000	9.5	19
3200	9.5	19
3400	9.5	19
3600	9.5	19
3800	9.5	19
4000	9.5	19
4200	9.5	19
4400	9.5	19
4600	9.5	19
4800	9.5	19
5000	9.5	19
5200	9.5	19
5400	9.5	19
5600	9.5	19
5800	9.5	19
6000	9.5	19
6200	9.5	19
6400	9.5	19
6600	9.5	19
6800	9.5	19
7000	9.5	19
7200	9.5	19
7400	9.5	19
7600	9.5	19
7800	9.5	19
8000	9.5	19
8200	9.5	19
8400	9.5	19
8600	9.5	19
8800	9.5	19
9000	9.5	19
9200	9.5	19
9400	9.5	19
9600	9.5	19
9800	9.5	19
10000	9.5	19

Run 30
200	9.0	18
400	9.0	18
600	9.0	18
800	9.0	18
1000	9.0	18
1200	9.0	18
1400	9.0	18
1600	9.0	18
1800	9.0	18
2000	9.0	18
2200	9.0	18
2400	9.0	18
2600	9.0	18
2800	9.0	18
3000	9.0	18
3200	9.0	18
3400	9.0	18
3600	9.0	18
3800	9.0	18
4000	9.0	18
4200	9.0	18
4400	9.0	18
4600	9.0	18
4800	9.0	18
5000	9.0	18
5200	9.0	18
5400	9.0	18
5600	9.0	18
5800	9.0	18
6000	9.0	18
6200	9.0	18
6400	9.0	18
6600	9.0	18
6800	9.0	18
7000	9.0	18
7200	9.0	18
7400	9.0	18
7600	9.0	18
7800	9.0	18
8000	9.0	18
8200	9.0	18
8400	9.0	18
8600	9.0	18
8800	9.0	18
9000	9.0	18
9200	9.0	18
9400	9.0	18
9600	9.0	18
9800	9.0	18
10000	9.0	18
